name,category,affiliations,role,stakeholder_flags,status,date_of_event,calibration_note,cites
"Terry Carmack","legislator","Senate UAPDA Sponsors","Chief of Staff to Sen. McConnell; named UAPDA stripping actor","legislative-blocker; contested-status","active","","Attribution sourced to Liberation Times Jan 2026 reporting and Rep. Burlison's December 18, 2025 statement on the Ask a Pol UAP podcast. Carmack has not publicly responded. The blocking action itself — UAPDA repeatedly stripped — is documented in the legislative record; the specific identification of Carmack as the blocking actor remains insider testimony.",""
"Daniel Sheehan","legislator","Senate UAPDA Sponsors","Pentagon Papers attorney; UAPDA advocate naming five consistent blockers","disclosure-advocate","active","","",""
"James Comer","legislator","House UAP Caucus","House Oversight Chair; investigating missing-scientist pattern (April 2026)","disclosure-advocate","active","","",""
"Donald Trump","legislator","PURSUE (Presidential Unsealing and Reporting System for UAP Encounters); Department of War (formerly DoD)","President; Feb 19, 2026 UAP declassification directive; PURSUE initiator","disclosure-advocate","active","","Executive directives can be reversed, narrowed, or selectively implemented. The PURSUE Release 01 was widely characterized — including by AARO's former director Sean Kirkpatrick — as light on substantive content. The 46 specific UAP videos demanded by Luna in March 2026 were not included in Release 01.",""
"Dan Farah","journalist-investigator","The Age of Disclosure (2025)","Director, The Age of Disclosure; assembled 34 senior government testimonies","disclosure-advocate","active","","",""
"André Carson","legislator","House UAP Caucus; The Age of Disclosure (2025)","House Intelligence Committee member; long-running UAP transparency advocate","disclosure-advocate","active","","",""
"Dan Crenshaw","legislator","House UAP Caucus; The Age of Disclosure (2025)","Former Navy SEAL; House Intelligence Committee; Age of Disclosure participant","","active","","",""
"Mike Gallagher","legislator","House UAP Caucus; The Age of Disclosure (2025)","Former House Armed Services voice; Age of Disclosure participant","","retired","","",""
"James Clapper","intelligence-community","The Age of Disclosure (2025)","Former Director of National Intelligence; Age of Disclosure participant","disclosure-advocate","retired","","",""
"Dylan Borland","government-military","Disclosure Project; September 9, 2025 Congressional Hearing","USAF whistleblower; triangular craft at Langley AFB; Sept 2025 House testimony","whistleblower; disclosure-advocate","active","","",""
"Jeffrey Nuccetelli","government-military","Disclosure Project; September 9, 2025 Congressional Hearing","Former Vandenberg AFB security forces; UAP incursions testimony Sept 2025","whistleblower; disclosure-advocate","retired","","",""
"Alexandro Wiggins","government-military","January 23, 2026 Congressional Hearing","U.S. Coast Guard officer; Jan 2026 House Oversight UAP hearing witness","whistleblower","active","","",""
"Matthew Brown","intelligence-community","January 23, 2026 Congressional Hearing","Self-identified author of Immaculate Constellation IC report summary","whistleblower; contested-status","active","","The Immaculate Constellation program's existence has been alleged but not officially confirmed. The document entered into the Congressional Record is a 12-page summary, not the underlying source records.",""
"Michael Shellenberger","journalist-investigator","January 23, 2026 Congressional Hearing","Independent journalist; carried Immaculate Constellation into Jan 2026 hearing","disclosure-advocate","active","","",""
"Yasukazu Hamada","legislator","Japan Diet UAP Parliamentary Group","Japan House Rep.; former Defense Minister; Diet UAP caucus chair","disclosure-advocate","active","","",""
"Shinjiro Koizumi","legislator","Japan Diet UAP Parliamentary Group","Japan House Rep.; former Environment Minister; Diet UAP caucus secretary-general","","active","","",""
"Yasuhide Nakayama","legislator","Japan Diet UAP Parliamentary Group","Japan House Rep.; former State Minister of Defense; caucus founding member","","active","","",""
"Yoshiharu Asakawa","legislator","Japan Diet UAP Parliamentary Group","Japan House opposition member; caucus founding voice on AARO hotspot designation","","active","","",""
"Shigeru Ishiba","legislator","Japan Diet UAP Parliamentary Group","Former Prime Minister of Japan; former Defense Minister; caucus founding member","","retired","","",""
"Sanae Takaichi","legislator","Japan Diet UAP Parliamentary Group","Prime Minister of Japan since Oct 2025; executive gate for caucus proposals","","active","","",""
"Beatriz Villarroel","scientist-academic","Sol Foundation; Sol Foundation 2025 Italy Symposium","Stockholm astrophysicist; VASCO non-human artifact hunt methodology","disclosure-advocate","active","","",""
"Pierre Bescond","government-military","Sol Foundation 2025 Italy Symposium","French Brigadier General (Ret.); COMETA report co-author (1999)","","retired","","",""
"Roberto Pinotti","journalist-investigator","Sol Foundation 2025 Italy Symposium","Italian UAP historian; Sol 2025 speaker on Italy's UAP record","","active","","",""
"Luc Dini","scientist-academic","Sol Foundation 2025 Italy Symposium","French aerospace engineer; 3AF/Sigma2 UAP physical observables methodology","","active","","",""
"Michael Valliant","government-military","Sol Foundation 2025 Italy Symposium","GEIPAN representative; two decades of French official UAP investigations","","active","","",""
"Jacob Haqq-Misra","scientist-academic","Sol Foundation 2025 Italy Symposium","Blue Marble Space astrobiologist; UAP within SETI framework","","active","","",""
"Jeffrey Kripal","scientist-academic","Sol Foundation; Sol Foundation 2025 Italy Symposium","Rice philosopher of religion; long-running Pasulka collaborator","disclosure-advocate","active","","",""
"Kevin Knuth","scientist-academic","Sol Foundation 2025 Italy Symposium","SUNY Albany physicist; UAP statistical modeling with Szydagis","","active","","",""
"James Fowler","journalist-investigator","Sol Foundation 2025 Italy Symposium","Defense and drone analyst; Sol 2025 UAP/drone overlap speaker","","active","","",""
"Michael Wiest","scientist-academic","","Wellesley neuroscientist; 2025 Orch-OR experimental support papers","","active","","","https://doi.org/10.1093/nc/niaf011"
"Anirban Bandyopadhyay","scientist-academic","","MIT researcher; warm-temperature quantum vibrations in brain microtubules","","active","","",""
"Christof Koch","scientist-academic","","Allen Institute consciousness researcher; lost 1998 bet with Chalmers (2025)","","active","","",""
"David Chalmers","scientist-academic","","NYU philosopher of mind; coined the hard problem of consciousness","","active","","",""
"Ross Coulthart","journalist-investigator","","NewsNation UAP investigative journalist; Tic-Tac/Lockheed claim (July 2025)","disclosure-advocate; contested-status","active","","The ""Tic-Tac is Lockheed Martin"" claim sourced to Coulthart's confidential reporting has not been independently corroborated. Coulthart has maintained the claim publicly; multiple other UAP-beat journalists (including those at DefenseScoop and the Disclosure Foundation) have not adopted it.",""
"George Knapp","journalist-investigator","Skinwalker Ranch; September 9, 2025 Congressional Hearing","KLAS investigative journalist; Bob Lazar story; Hunt for the Skinwalker co-author","disclosure-advocate","active","","",""
"Bob Lazar","witness-experiencer","Skinwalker Ranch","Self-described former S-4 scientist; 1989 Area 51 reverse-engineering claims","experiencer; contested-status","active","","Lazar's claimed credentials (MIT, Caltech) have never been verified through the institutions themselves. Supporters point to his demonstrable specialized knowledge of element 115 and propulsion concepts that predated public discussion. Critics point to the absence of independent corroboration. Treat as a primary historical-narrative figure whose evidentiary weight is contested.",""
"Steven Greer","witness-experiencer","Disclosure Project","Disclosure Project founder; CE-5 protocols; May 2026 National Press Club briefing","experiencer; disclosure-advocate; contested-status","active","","Greer is a major movement figure with a long public record; he has also drawn substantial within-community criticism for selling CE-5 training and for some specific claims (e.g., the Atacama specimen). His convening role is genuine; specific factual claims should be evaluated case by case.",""
"Jaime Maussan","journalist-investigator","Disclosure Project","Mexican UAP journalist; Buga Sphere briefing; contested Nazca specimens","contested-status","active","","Maussan's Nazca specimens have been the subject of substantial scientific dispute. Treat associated claims as requiring independent verification.",""
"Amy Eskridge","scientist-academic","","Institute for Exotic Science co-founder; anti-gravity researcher; died June 2022","deceased; contested-status","deceased","2022-06-11","The official cause of death is suicide. The conspiracy framing rests on uncorroborated reports of her pre-event statements warning of a fabricated cover story. No independent investigation has reopened the case.",""
"Nuno Loureiro","scientist-academic","","MIT plasma physicist; killed Dec 2025 by former PhD classmate","deceased; contested-status","deceased","2025-12-16","Loureiro's death was a documented homicide by an identified individual with a documented academic relationship to the victim. The framing of this homicide as part of a coordinated suppression of UAP-adjacent science is not supported by the public record of the case.",""
"Ning Li","scientist-academic","","UAH gravity-modification researcher; brain damage 2014; died July 2021","deceased; contested-status","deceased","2021-07-27","The 2014 accident was on the public record and the death from Alzheimer's came years later. The framing of these events as suspicious is a narrative overlay, not an investigative finding.",""
"Monica Jacinto Reza","scientist-academic","","JPL advanced materials engineer; missing June 22, 2025, Angeles National Forest","missing; contested-status","missing","2025-06-22","This is a real and unresolved missing-persons case. The framing as suspicious within a broader pattern is narrative; the case itself is open.",""
"Carl Grillmair","scientist-academic","","Caltech (Ret.) exoplanet astronomer; died early 2026","deceased; contested-status","deceased","","Grillmair's death is documented; the framing of it as part of a coordinated suppression pattern is contested and not supported by an independent investigative finding on the public record.",""
"Michel David Hicks","scientist-academic","","JPL planetary scientist; died July 30, 2023","deceased; contested-status","deceased","2023-07-30","Hicks's death is on the public record. The framing of it as suspicious within a broader coordinated pattern is narrative overlay, not an established investigative finding.",""
"Frank Maiwald","scientist-academic","","JPL imaging spectroscopy; died July 4, 2024","deceased; contested-status","deceased","2024-07-04","Maiwald's death is documented. The framing of it as part of a coordinated suppression pattern is contested and not supported by an independent investigative finding on the public record.",""
"David Wilcock","journalist-investigator","","Disclosure-movement author and YouTuber; died April 20, 2026, Boulder County","deceased; contested-status","deceased","2026-04-20","Wilcock's death is officially recorded as suicide. His family's published statement explicitly attributes the cause to depression and financial circumstances. The conspiracy framing of his death is widespread on social media but is directly disputed by both his family and the Boulder County Sheriff's investigative record.",""
"Hunt Willis","journalist-investigator","Disclosure Foundation","Chief Legal Officer, Disclosure Foundation; lead on NSA UMBRA FOIA appeal","disclosure-advocate","active","","","https://disclosure.org/news/nsa-top-secret-umbra-uap-foia-release"
"Kyle Fish","scientist-academic","Anthropic","AI welfare researcher, Anthropic","disclosure-advocate","active","","",""
"Bernardo Kastrup","scientist-academic","Essentia Foundation","Philosopher; analytical idealism proponent","","active","","",""
